Date,Screen Name,Full Name,Tweet Text,Tweet ID,App,Followers,Follows,Retweets,Favorites,Verfied,User Since,Location,Bio,Profile Image
3/15/16,@_Lightscap3s_,Otis,"RT @NatureBridge: ""NatureBridge is Highlight of 6th Grade."" Full story from Orcas Elementary https://t.co/pckZP50YcO #EnviroEd https://t.co…",7.10E+17,RoundTeam,2644,590,1,0,No,6/8/09,"Carmel, IN","Artist @ Framed Lightscap3s LLC | Landscape, Macro & Outdoor Photographer | Fine Art Printmaker",View
3/21/16,@_Lightscap3s_,Otis,"RT @NatureBridge: By 2050 we want more fish than plastic in the #ocean. @5gyres has solutions, such as #enviroed. https://t.co/2X8qADLKkj #…",7.12E+17,RoundTeam,2641,587,2,0,No,6/8/09,"Carmel, IN","Artist @ Framed Lightscap3s LLC | Landscape, Macro & Outdoor Photographer | Fine Art Printmaker",View
4/6/16,@_Lindsay_Conway,Lindsay,RT @savageducates: Greenest School on #Earth status; I'm filling out my application as we speak. ;) #edchat #EnviroEd #environment https://…,7.18E+17,Twitter for iPhone,164,318,2,0,No,6/7/14,"Bratislava, Slovakia",International education. SEN interests. Adoption advocate. Technology geek. Lover of Slow Education & believer in play.,View
3/23/16,@_mcisneros19,Mirella Cisneros,"A1: For math children could measure trunks to find the circumference, diameter and radius. #EnviroEd",7.13E+17,TweetDeck,8,44,0,0,No,2/4/16,,,View
3/23/16,@_mcisneros19,Mirella Cisneros,A2: Going outside & letting children find the connections. Once they show their interests teachers can go from there. #EnviroEd,7.13E+17,TweetDeck,8,44,0,0,No,2/4/16,,,View
3/23/16,@_mcisneros19,Mirella Cisneros,A4: It is important to make Ss aware about the lack of fresh water other communities may receive and why this occurs. #EnviroEd,7.13E+17,TweetDeck,8,44,0,1,No,2/4/16,,,View
3/23/16,@_mcisneros19,Mirella Cisneros,A4: Learning how we may contribute to the contamination of water to stop the cycle. Studying the impact of substances we us. #EnviroEd,7.13E+17,TweetDeck,8,44,0,0,No,2/4/16,,,View
3/28/16,@_mcisneros19,Mirella Cisneros,Has technology imprisoned children? Do they know what freedom if they only spend about an hour outside?#EnviroEd https://t.co/DDXv1gnJjh,7.15E+17,Twitter Web Client,10,44,0,0,No,2/4/16,,,View
3/31/16,@_mcisneros19,Mirella Cisneros,Some helpful tips and activities for teaching outside. This could be helpful for our ASL project. #EnviroEd https://t.co/4qUrw4w9cc,7.16E+17,Twitter Web Client,11,44,0,0,No,2/4/16,,,View
4/7/16,@_mcisneros19,Mirella Cisneros,"""...school isn't supposed to be a polite form of incarceration but a portal to the wider world. #EnviroEd https://t.co/lFILnRlAeq",7.18E+17,Twitter Web Client,9,44,0,0,No,2/4/16,,,View
